N,P,K,temperature,humidity,ph,rainfall,label
32.81605144560859,24.92860529817228,43.49484292771092,21.224978619659893,69.04719977459489,6.185769040058727,45.642851007436526,kidneybeans
38.33453917705225,35.86121959652158,21.031305750551756,26.389630219732844,52.443416386734775,6.652521891510335,63.412407813392626,kidneybeans
72.48923244106612,33.8924502364153,27.35518701754579,21.727167772760343,76.55075791133748,7.100421570842103,126.93048936413398,maize
41.07888729313747,39.11960117652144,30.626799064732182,28.997195509744277,83.8425906622927,7.463165352538281,79.81503562765556,mungbean
26.637160893381918,27.619825473367996,36.16811477787382,23.236236107489734,57.69222151957536,6.918248046573362,51.2300123594498,chickpea
46.88708747438399,36.134156154901234,20.073126226892985,28.200595641835825,70.54435604840315,6.844574425524848,69.95716158959388,mungbean
94.42018361543407,42.05885752958923,36.53414719482975,26.85611846889418,65.76810875637491,7.44170322811139,88.94818949024204,maize
48.54269662536698,25.945815806146673,21.841339721649508,20.990445871503816,62.47297556580532,7.297009640237376,48.71814195002789,chickpea
43.05955612559464,30.26208303972666,44.29936231050417,22.382896705530918,56.73148939399387,6.756754386082253,60.86793967696711,kidneybeans
77.33241100938943,37.60801097940819,39.53600657021319,18.99648533993684,68.45096856623888,6.063037012757108,123.99041207669303,maize
71.6038441472098,38.788099793889046,32.25879164989051,26.48768253970237,64.8138542366501,6.182252064451377,69.74704898599373,maize
46.32410139963446,34.77446301453133,20.274911080226904,17.483762603698004,54.28812965986329,6.541612656073945,47.32918391959205,chickpea
105.29223322374318,52.670594215217896,40.71549368149517,20.902897700544084,96.70604991178476,5.981170097457603,177.97777655997814,rice
29.38333967631062,33.08684010985439,24.640363606176216,15.14381446072085,65.28706772872854,7.247486169728019,83.3611837150672,chickpea
49.51711075995201,37.9228772772026,46.42685481634257,20.496059083494828,57.71188076567626,6.697554501331365,58.158283157721684,kidneybeans
87.7635210248404,32.5542696727047,36.521352605050566,25.03825278903347,74.17489395485953,6.054240570787143,80.31283559453286,maize
23.89036934672706,25.12926122033532,27.106394969477755,21.739942081457304,51.25129684438903,6.421013879330686,86.63165482041734,chickpea
96.85428009108281,54.75164603177783,34.775542915366046,21.104741131313947,87.09244315281553,5.930858487481123,194.4462180683985,rice
49.042291443522004,28.934290545170406,30.03035920700333,17.466586158054064,59.41920504869467,7.323827265274023,82.582399586783,chickpea
100.10548372420769,51.53807769252718,39.85035387637728,21.952429877980446,94.44904230523011,5.921158543661283,153.64739496471807,rice
